Date,Day of the week,Total Residential Consumption,Total CI Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m²),apparent_temperature_mean (°C),dew_point_2m_mean (°C)
2023-03-01,4,16868498.3,3828445.2,-2.1,81,8.3,86,0.2,10.08,-6.1,-5.1
2023-03-02,5,16366473,3762039.7,-0.5,80,12.6,83,2.4,5.99,-5,-3.7
2023-03-03,6,17237457.5,3856182.4,-6.3,68,9.4,57,0,15.68,-11,-11.5
2023-03-04,7,17968893,3495099.1,-2.5,85,11.5,95,19.7,3.82,-6.9,-4.7
2023-03-05,1,16929832.7,3250463.9,-0.4,80,6.1,65,0,13.34,-3.9,-3.6
2023-03-06,2,15814298.6,3605000.5,-1,66,13.4,40,0,16.83,-5.8,-7
2023-03-07,3,16836919.2,3801801.4,-5.2,69,18.4,91,0.4,7.1,-11.1,-10.1
2023-03-08,4,16524965.4,3774535.9,-3.7,68,14.1,82,0,14.16,-8.9,-8.9
2023-03-09,5,16070219.8,3710401.4,-2.5,72,11.3,79,0.1,12.75,-7.1,-6.9
2023-03-10,6,16724501.5,3728719.5,-2.9,74,8.4,88,0,14.88,-7.1,-7.2
2023-03-11,7,17048519.5,3403208.8,-2.3,74,10.9,63,0,16.04,-6.8,-6.6
2023-03-12,1,17205170,3278363.9,-2.5,73,6.9,62,0,16.04,-6.5,-7.1
2023-03-13,2,16095377.6,3582426.7,0.2,90,7.1,100,5.2,4.44,-3.2,-1.3
2023-03-14,3,16257813.2,3660784.8,1.1,84,15.1,100,5.8,4.81,-3.4,-1.3
2023-03-15,4,16077628.2,3686070.9,-1.7,62,18.3,50,0,18.77,-7.3,-8.3
2023-03-16,5,15557496.2,3590092,-0.2,81,7.4,100,1.8,5.41,-3.8,-3.1
2023-03-17,6,15836906.5,3559735.1,2.2,88,11.9,90,9.9,2.16,-1.6,0.4
2023-03-18,7,16696624.3,3339997.4,-0.6,72,13.7,67,0.7,11.52,-5.4,-5.4
2023-03-19,1,18360390.7,3402817,-7,65,16.7,82,0.3,18.5,-12.7,-12.7
2023-03-20,2,15981199.7,3587846.3,-0.2,68,14.1,53,0,14.81,-5,-5.8
2023-03-21,3,14944832,3505907.8,0,76,8.3,83,0.5,15.7,-3.8,-4.1
2023-03-22,4,15525158.7,3587416.2,-1.1,69,12.1,78,0.6,17.63,-5.7,-6.6
2023-03-23,5,15713108.6,3579148.7,2,83,7.9,71,9.3,7.65,-1.4,-0.6
2023-03-24,6,15044293.7,3477455.5,-0.7,72,10.4,63,0,19.81,-4.9,-5.5
2023-03-25,7,17502601.6,3350222.5,-1.5,84,16,100,10.7,4.8,-6.5,-4
2023-03-26,1,16804287,3142205.4,2.6,75,17.7,87,1.9,7.74,-2.3,-1.5
2023-03-27,2,15217340.5,3423422.1,1.3,72,7.7,59,0,17.48,-2.3,-3.7
2023-03-28,3,14947019.4,3465117.2,-0.8,74,8.1,48,0,18.65,-4.7,-5.3
2023-03-29,4,15753531.1,3560614.2,-0.5,76,15.2,76,3.1,15.04,-5.3,-4.6
2023-03-30,5,16224136.2,3670469.6,-4.6,64,14.1,22,0,21.66,-9.7,-10.8
2023-03-31,6,16502436.8,3618534.2,-1.9,81,9.7,87,6.1,8.05,-6.1,-5
2023-04-01,7,16091171.7,3205564.8,2.8,82,14,81,11.1,13.11,-1.2,-0.2
2023-04-02,1,17234066.6,3187510.4,-4.6,58,12.8,22,0,23.09,-9.5,-12.1
2023-04-03,2,15552424.2,3445258.3,1.8,71,11.5,93,1,8.91,-2.3,-3
2023-04-04,3,14377897.8,3371913.1,1.7,74,10.5,83,0,17.1,-2.3,-2.8
2023-04-05,4,15201702.5,3327304.5,-0.4,75,17.7,100,21,4.33,-5.7,-4.3
2023-04-06,5,12795173.6,3005970.7,6.7,71,13.7,91,0.3,17.06,2.9,1.2
2023-04-07,6,15693781.7,2949439.4,-0.6,60,18.3,29,0,21.38,-6.1,-7.7
2023-04-08,7,15889095.8,3087962.9,-1.5,60,8.1,12,0,23.62,-5.5,-9.1
2023-04-09,1,15538631,2828359.4,1.9,59,7.4,5,0,24.05,-1.7,-6.1
2023-04-10,2,14049550.9,3054806.1,6.7,61,11.2,32,0,22.14,3,-0.9
2023-04-11,3,12701793.8,3096910.9,10,57,15.7,100,0,10.41,5.8,1.5
2023-04-12,4,12048309.8,3068346.3,8.7,61,9.2,59,0.9,20.64,5.6,1
2023-04-13,5,11826839.5,3172463.2,13.9,69,9,1,0,22.91,12.4,7.6
2023-04-14,6,11637343.4,3063912.4,12.4,54,11.3,23,0,23.42,9.4,2.7
2023-04-15,7,12455352.7,2788838,13.5,54,10,2,0,23.8,11,3.9
2023-04-16,1,12967908.2,2661391.5,15,66,9.8,14,0,23.81,13.5,8.2
2023-04-17,2,12348408.4,2938657.9,9.5,88,12.5,94,11.4,5.74,7.1,7.5
2023-04-18,3,13763077.2,3130208.2,4.8,73,14.4,86,1.8,8.78,0.6,0.2
2023-04-19,4,14334309.7,3246821.8,2.2,65,12.9,80,0.4,11.45,-2.3,-3.9
2023-04-20,5,13278871,3158754.5,4.4,59,7.1,75,0.3,25.04,1.2,-3.4
2023-04-21,6,12487888.1,3037648.4,8.7,58,14.5,98,0.2,21.24,4.8,0.6
2023-04-22,7,13026368.7,2752563.7,13.5,73,14.3,98,5.6,18.86,11.1,8
2023-04-23,1,13937732.2,2613951.3,9,86,6,96,4.3,12.03,7.2,6.4
2023-04-24,2,13366157.6,3040716.5,5.3,92,6.6,84,3.8,6.16,2.9,4
2023-04-25,3,13315477.1,3105171.7,4.8,78,8.9,55,1.9,19.82,1.6,0.7
2023-04-26,4,13652867.1,3152158.5,4.8,79,5.6,75,0.7,15.85,2.1,1.3
2023-04-27,5,12831890.3,3094344.3,6.6,70,5.4,47,0.2,19.97,4,0.9
