Date,Day of the week,Daily CI Total Consumption,Daily Residential Total Consumption,temperature_2m_mean (°C),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),cloud_cover_mean (%),precipitation_sum (mm),shortwave_radiation_sum (MJ/m?),apparent_temperature_mean (ÁC),dew_point_2m_mean (ÁC)
2022-08-26,6,1343787.3,15036347.1,20.9,77,12.4,47,0.6,18.66,21.5,16.5
2022-08-27,7,1185672.5,13330454.7,18,70,9.6,9,0,23.46,17.5,12.1
2022-08-28,1,1200593.9,16325791.3,21,77,9.1,70,0,22.65,22.3,16.7
2022-08-29,2,1422392.8,20027082.8,24.2,80,15.5,77,3.6,19.35,26.1,20.4
2022-08-30,3,1360342.6,16546936.9,22,82,16.1,74,9,7.64,22.9,18.6
2022-08-31,4,1305738.7,14415804.2,20.7,58,20.3,13,0,19.9,18.4,11.7
2022-09-01,5,1230485.2,12584946,17.3,61,11.7,21,0,22.34,15.7,9.4
2022-09-02,6,1316173,14417942.9,20.4,71,8.6,44,0,20.52,21,14.8
2022-09-03,7,1320200.8,17531969.4,23.4,79,10.9,35,0,20.08,25.5,19.2
2022-09-04,1,1103629.8,13368482.4,19,79,14,83,0.5,5.95,18.8,15.3
2022-09-05,2,1006493.1,12321508,18,79,13.5,97,0.8,9,17.4,14.2
2022-09-06,3,1208733,12904771,18.9,75,10.8,42,0,20.43,18.9,14.3
2022-09-07,4,1246698,13018926.8,19.4,79,7.4,67,0.5,12.47,20.2,15.5
2022-09-08,5,1283388.1,13745206.5,19.4,71,9.5,9,0,20.88,19.3,13.6
2022-09-09,6,1327232.6,14542222,19.6,79,7.6,0,0,20.98,20.6,15.5
2022-09-10,7,1301195.3,16336345.2,21.5,81,9.1,61,0,17.98,23.1,17.8
2022-09-11,1,1183089.6,15602385.1,20.4,83,10.4,90,1.1,9.93,21.5,17.2
2022-09-12,2,1237505.1,13893427.5,19.9,89,11.1,76,4.8,10.11,21.3,18.1
2022-09-13,3,1174980.6,11738104.7,16.8,76,9.6,56,3.3,13.91,16.2,12.4
2022-09-14,4,1197403.6,11777846.6,18,71,16.6,18,0.1,17.51,16.4,12.3
2022-09-15,5,1130538.5,10619094.2,13.8,65,9.3,18,0,20.37,11.9,7
2022-09-16,6,1164755.2,10864733.6,16,81,10.8,74,0.1,14.76,15.4,12.6
2022-09-17,7,1154381,12464867.2,19.2,85,11.5,71,0,15.46,19.9,16.6
2022-09-18,1,1145908.5,14599627.6,21.9,77,13.8,89,2.6,12.09,22.6,17.5
2022-09-19,2,1226035.4,13873626.1,20.9,74,13.9,52,0.9,14.82,21,15.7
2022-09-20,3,1233851.6,12782522.4,19.3,72,11.3,45,0,16.35,18.8,13.6
2022-09-21,4,1279034.7,13365550.2,20.4,81,13.8,65,1.6,13.23,20.9,17
2022-09-22,5,1140354.3,10923608.6,13.7,63,22.6,69,1.9,13.01,9.7,6.7
2022-09-23,6,1103582.6,10427584.8,10.3,56,14.8,20,0,17.77,6.4,1.6
2022-09-24,7,1053468,11046739.7,11.7,70,7.3,87,1.2,14.09,9.9,6.2
2022-09-25,1,1004984.9,11960988.3,14.8,85,7.8,87,16.5,6.33,14.4,12.3
2022-09-26,2,1057515.9,10925071.9,13.3,79,21.4,65,8.3,13.49,10.2,9.7
2022-09-27,3,1091549.4,10860594.4,13.1,83,13.9,99,9.3,8.66,11.2,10.3
2022-09-28,4,1108619.3,10828104.1,11.8,76,16.3,89,0,10.63,8.8,7.6
2022-09-29,5,1120055.9,10669328.2,11.1,73,6.9,36,0,16.5,9.2,6.2
2022-09-30,6,1124683.6,10717492,10.9,75,5.8,38,0,16.97,9.4,6.6
2022-10-01,7,1072469.1,11167053,13.7,72,12.4,100,0,12.12,11.5,8.5
2022-10-02,1,1010099,11731201.5,10.8,56,16.6,29,0,17.8,6.8,2.2
2022-10-03,2,1078058.5,11044861,9.1,64,8.6,38,0,17.34,6.3,2.5
2022-10-04,3,1102480.8,10797140.3,10.5,71,6.9,79,0,16.27,8.5,5.1
2022-10-05,4,1120503,10608964.9,13,71,8.6,8,0,15.99,11.3,7.8
2022-10-06,5,1139074.4,10448659.1,14.7,76,12.3,86,0.7,10.77,13.1,10.4
2022-10-07,6,1123060.9,10827209,9.8,69,19.9,87,1.5,6.86,5.6,4.2
2022-10-08,7,1065767.2,11776797.3,7.6,60,16.6,58,0,9.14,3,0.1
2022-10-09,1,986878.8,11715027.5,10.5,61,14.1,71,0,9.2,6.9,3.1
2022-10-10,2,945740.9,11807459.6,9.9,71,9.4,44,0.1,14.68,7.3,4.5
2022-10-11,3,1107486.5,10797361.3,11.8,69,10.3,20,0,15.07,9.6,6.2
2022-10-12,4,1120668.7,10545889,15.3,73,16,99,2.8,8.9,13.2,10.5
2022-10-13,5,1130526.4,10732610.9,12.8,83,17.3,64,21.3,7,10.4,9.9
2022-10-14,6,1143965.1,11007722.2,9.9,62,15.2,25,1.6,12.89,6,2.5
2022-10-15,7,1091389.1,11730820.5,10.8,55,22.7,68,3.5,11.35,5.8,2
2022-10-16,1,1025843.9,12094589.9,9.6,65,10.9,68,0,10.88,6.5,3.1
